date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:55:11	387722/387722	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%225ea8a-6442d811-86c54c58ed93cf71;gz%22	https://www.devsnews.com/template/tionco/tionco/assets/fonts/fa-solid-900.eot?	C:/Users/Amine/Desktop/Wajd/Wajd/www.devsnews.com/template/tionco/tionco/assets/fonts/fa-solid-900d41d.eot	(from https://www.devsnews.com/template/tionco/tionco/assets/css/fontawesome-all.min.css)
15:55:11	141036/141036	---M--	200	added ('OK')	font/woff2	etag:%22226ec-6442d811-27308a9c89615b8c;;;%22	https://www.devsnews.com/template/tionco/tionco/assets/fonts/fa-solid-900.woff2	C:/Users/Amine/Desktop/Wajd/Wajd/www.devsnews.com/template/tionco/tionco/assets/fonts/fa-solid-900.woff2	(from https://www.devsnews.com/template/tionco/tionco/assets/css/fontawesome-all.min.css)
15:55:13	188292/188292	---MCZ	200	added ('OK')	application/font-woff	etag:W/%222df84-6442d811-5474d784aa5d7eaa;;;%22	https://www.devsnews.com/template/tionco/tionco/assets/fonts/fa-solid-900.woff	C:/Users/Amine/Desktop/Wajd/Wajd/www.devsnews.com/template/tionco/tionco/assets/fonts/fa-solid-900.woff	(from https://www.devsnews.com/template/tionco/tionco/assets/css/fontawesome-all.min.css)
15:55:25	387440/387440	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%225e970-6442d811-2ea10eca8ee7c5af;gz%22	https://www.devsnews.com/template/tionco/tionco/assets/fonts/fa-solid-900.ttf	C:/Users/Amine/Desktop/Wajd/Wajd/www.devsnews.com/template/tionco/tionco/assets/fonts/fa-solid-900.ttf	(from https://www.devsnews.com/template/tionco/tionco/assets/css/fontawesome-all.min.css)
15:55:25	1783495/1783495	---M-Z	200	added ('OK')	image/svg+xml	etag:%221b36c7-6442d811-d9d608a4cb6979fc;gz%22	https://www.devsnews.com/template/tionco/tionco/assets/fonts/fa-solid-900.svg	C:/Users/Amine/Desktop/Wajd/Wajd/www.devsnews.com/template/tionco/tionco/assets/fonts/fa-solid-900.svg	(from https://www.devsnews.com/template/tionco/tionco/assets/css/fontawesome-all.min.css)
15:55:26	69552/69552	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2210fb0-6442d811-755e1516afe21ccc;gz%22	https://www.devsnews.com/template/tionco/tionco/assets/fonts/flaticon.ttf?c708bd3057ef78ead39180658bf93316	C:/Users/Amine/Desktop/Wajd/Wajd/www.devsnews.com/template/tionco/tionco/assets/fonts/flaticon0678.ttf	(from https://www.devsnews.com/template/tionco/tionco/assets/css/flaticon.css)
15:55:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2031%20Oct%202023%2014:55:25%20GMT	https://www.devsnews.com/template/tionco/tionco/assets/fonts/fonts/flaticon.woff?c708bd3057ef78ead39180658bf93316	C:/Users/Amine/Desktop/Wajd/Wajd/www.devsnews.com/template/tionco/tionco/assets/fonts/fonts/flaticon0678.woff	(from https://www.devsnews.com/template/tionco/tionco/assets/css/flaticon.css)
15:55:27	24124/24124	---M--	200	added ('OK')	font/woff2	etag:%225e3c-6442d811-2e1d782064e12d01;;;%22	https://www.devsnews.com/template/tionco/tionco/assets/fonts/flaticon.woff2?c708bd3057ef78ead39180658bf93316	C:/Users/Amine/Desktop/Wajd/Wajd/www.devsnews.com/template/tionco/tionco/assets/fonts/flaticon0678.woff2	(from https://www.devsnews.com/template/tionco/tionco/assets/css/flaticon.css)
15:55:28	69720/69720	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2211058-6442d811-3e2fe91ff73ea272;gz%22	https://www.devsnews.com/template/tionco/tionco/assets/fonts/flaticon.eot?c708bd3057ef78ead39180658bf93316	C:/Users/Amine/Desktop/Wajd/Wajd/www.devsnews.com/template/tionco/tionco/assets/fonts/flaticon0678.eot	(from https://www.devsnews.com/template/tionco/tionco/assets/css/flaticon.css)
15:55:32	537868/537868	---M--	200	added ('OK')	font/woff2	etag:%228350c-6442d811-dfa75ae7a2c35f57;;;%22	https://www.devsnews.com/template/tionco/tionco/assets/fonts/icofont.woff2	C:/Users/Amine/Desktop/Wajd/Wajd/www.devsnews.com/template/tionco/tionco/assets/fonts/icofont.woff2	(from https://www.devsnews.com/template/tionco/tionco/assets/css/icofont.min.css)
